k,k_id
"3,478",3
"32,479",32
"34,480",34
"60,481",60
"66,482",66
"63,483",63
"84,484",84
"125,485",125
"127,486",127
"128,487",128
"129,488",129
"135,489",135
"139,490",139
"176,491",176
"191,492",191
"198,493",198
"206,494",206
"207,495",207
"208,496",208
"209,497",209
"220,498",220
"186,499",186
"211,500",211
"213,501",213
"290,502",290
"330,503",330
"333,504",333
"339,505",339
"341,506",341
"405,507",405
"414,508",414
"250,509",250
"470,510",470
"297,511",297
"499,512",499
"524,513",524
"562,514",562
"573,515",573
"412,516",412
"368,517",368
"751,518",751
"920,519",920
"1,049,520",1049
"549,521",549
"1,181,522",1181
"1,182,523",1182
"1,211,524",1211
"1,032,525",1032
"1,238,526",1238
"1,259,527",1259
"1,268,528",1268
"1,276,529",1276
"1,277,530",1277
"1,217,531",1217
"1,278,532",1278
"631,533",631
"1,328,534",1328
"1,329,535",1329
"252,536",252
"1,381,537",1381
"1,385,538",1385
"1,386,539",1386
"1,387,540",1387
"961,541",961
"1,402,542",1402
"361,543",361
"1,425,544",1425
"1,553,545",1553
"1,558,546",1558
"1,559,547",1559
"1,560,548",1560
"1,563,549",1563
"980,550",980
"375,551",375
"189,552",189
"1,615,553",1615
"1,033,554",1033
"212,555",212
"210,556",210
"1,708,557",1708
"1,720,558",1720
"347,559",347
"1,734,560",1734
"96,561",96
"1,043,562",1043
"1,843,563",1843
"1,484,564",1484
"1,844,565",1844
"1,845,566",1845
"378,567",378
"1,186,568",1186
"126,569",126
"2,305,570",2305
"2,361,571",2361
"2,362,572",2362
"2,171,573",2171
"2,172,574",2172
"2,173,575",2173
"2,175,576",2175
"2,176,577",2176
"944,578",944
"2,157,579",2157
"2,174,580",2174
"2,380,581",2380
"2,196,582",2196
"2,487,583",2487
"2,133,584",2133
"2,135,585",2135
"1,860,586",1860
"943,587",943
"942,588",942
"2,141,589",2141
"699,590",699
"2,587,591",2587
"2,588,592",2588
"304,593",304
"2,169,594",2169
"2,170,595",2170
"616,596",616
"2,274,597",2274
"1,064,598",1064
"1,068,599",1068
"1,069,600",1069
"2,184,601",2184
"566,602",566
"785,603",785
"2,956,604",2956
"416,605",416
"358,606",358
"1,571,607",1571
